operation,operand_1,operand_2
SUB,971,738
SUM,114,780
DIV,354,224
DIV,277,77
MUL,761,411
SUB,101,169
DIV,784,919
DIV,321,511
SUM,581,62
SUB,540,874
MUL,293,30
SUB,994,649
SUM,658,37
SUM,669,608
SUB,930,271
SUM,49,100
DIV,1,538
SUM,320,411
MUL,993,830
MUL,966,253
MUL,80,716
POW,243,411
DIV,537,560
DIV,548,854
DIV,855,159
MUL,418,893
POW,80,853
MUL,714,230
POW,970,993
POW,451,174
SUM,934,96
POW,309,885
MUL,630,627
SUM,556,618
SUM,271,777
POW,81,666
DIV,146,222
POW,772,419
SUB,985,966
MUL,896,638
SUB,922,71
MUL,64,567
SUB,529,522
MUL,49,399
MUL,795,773
SUB,942,802
POW,343,154
SUB,147,276
DIV,909,631
MUL,500,45
POW,886,415
POW,653,482
SUM,566,742
DIV,266,169
DIV,992,689
SUM,597,892
SUM,670,251
SUB,199,263
SUB,852,274
DIV,650,817
SUM,623,829
DIV,140,832
MUL,863,337
POW,817,700
DIV,818,861
SUM,450,486
SUB,480,864
MUL,317,499
SUM,876,701
POW,915,656
SUM,733,443
MUL,963,5
SUB,995,621
MUL,205,566
MUL,704,93
DIV,120,207
SUB,392,849
DIV,499,427
DIV,692,769
MUL,80,308
SUM,788,191
MUL,889,608
POW,390,8
SUB,154,833
SUB,138,746
SUB,628,197
POW,261,377
SUM,189,932
MUL,729,388
SUM,185,735
MUL,532,313
POW,257,934
MUL,105,731
POW,167,731
POW,877,5
DIV,301,11
SUM,156,620
DIV,651,704
POW,695,101
MUL,775,253
SUB,584,124
POW,586,268
DIV,457,624
DIV,287,866
SUM,612,358
SUM,714,847
DIV,341,977
SUB,720,576
POW,473,609
MUL,142,671
MUL,833,602
SUM,915,702
MUL,425,380
DIV,864,987
POW,54,493
MUL,459,704
DIV,673,237
MUL,994,442
POW,36,500
DIV,95,109
MUL,311,373
SUB,780,659
MUL,83,342
DIV,510,828
SUM,238,341
SUB,14,289
POW,748,863
